status,lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,espera_zona_roja,ratio_asistencia,recurrence,libere_community,bought_products,returning_inhabitant,mes_estancia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,status_num,origin_direct_channel,origin_email,origin_in_person,origin_telephone,requested_category_Hostel room,requested_category_One bedroom apartment,requested_category_One bedroom apartment superior,requested_category_Studio,requested_category_Studio superior,requested_category_Three bedroom apartment,requested_category_Three bedroom apartment superior,requested_category_Two bedroom apartment,requested_category_Two bedroom apartment superior,asset_type_apartment,asset_type_hostel,brand_libere,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Mid Stay,rate_type_Non Refundable,estacion_estancia_Otoño,estacion_estancia_Primavera,estacion_estancia_Verano,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA
cancelled,0,3,1,0,135,0.0,0,18.55,6.18,0,1,,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,0,6,1,0,135,1.0,0,111.37,18.56,-1,0,1.0,1,yes,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,0,1,4,0,135,4.0,0,82.91,82.91,-1,0,1.0,1,no,no,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,0,1,1,0,135,1.0,1,24.12,24.12,-1,0,1.0,1,no,yes,no,1,250,16.9,2.0,12.4,21.4,18.0,9.2,21.1,7.7,989.5,983.6,30.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,96,1,1,0,135,1.0,0,13.95,13.95,95,1,1.0,3,no,no,yes,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,87,2,2,0,135,0.0,0,60.55,30.28,87,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
cancelled,87,2,2,0,135,0.0,0,48.44,24.22,87,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,75,1,1,0,135,1.0,0,13.07,13.07,75,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,65,2,2,2,135,2.0,0,111.28,55.64,64,1,2.0,1,yes,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,60,7,3,0,135,3.0,0,420.13,60.02,59,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
