lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,recurrence,ratio_asistencia,tmed,prec,sol,bought_products,returning_inhabitant,libere_community,es_finde,es_festivo,asset_type_aparthotel,asset_type_apartment,asset_type_hostel,business_segment_Business Group,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Flexible,rate_type_Mid Stay,rate_type_Non Refundable,origin_channel_manager,origin_direct_channel,origin_email,origin_in_person,origin_telephone,provincia_ARABA/ALAVA,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA,mes_estancia_1,mes_estancia_2,mes_estancia_3,mes_estancia_4,mes_estancia_5,mes_estancia_6,mes_estancia_7,mes_estancia_8,mes_estancia_9,mes_estancia_10,mes_estancia_11,mes_estancia_12
3.367295829986474,3,2,0,135,0.0,1,4.016923415253516,2.953868069455292,28,1,0.6931471805599453,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.2188758248682006,4,4,0,135,0.0,0,4.0963425648847736,2.7587433154177283,24,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.1354942159291497,3,2,0,135,2.0,0,4.743278588105721,3.6620219999440535,22,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.091042453358316,4,4,0,135,0.0,0,4.529692044812134,3.175132901920282,21,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.8903717578961645,3,3,1,135,3.0,2,4.476313563863087,3.4001968813285717,16,1,0.8472978603872036,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.70805020110221,1,1,0,135,1.0,1,3.035433640405543,3.035433640405543,13,1,0.6931471805599453,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.3978952727983707,2,3,0,135,3.0,0,4.567675981560511,3.8848573373553763,9,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.0794415416798357,2,2,2,135,2.0,0,4.620058798481842,3.9367156180185177,7,1,1.0986122886681098,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.791759469228055,3,1,0,135,1.0,0,3.7130841428107537,2.6623552418400807,4,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.6094379124341003,2,2,2,135,0.0,1,4.478359019121704,3.796612153916818,4,1,0.6931471805599453,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.6094379124341003,2,4,0,135,4.0,2,4.961024793542921,4.274858931480352,3,1,0.6931471805599453,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.6094379124341003,1,2,2,135,2.0,0,4.0418224429629905,4.0418224429629905,3,1,1.0986122886681098,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.3862943611198906,2,2,3,135,2.0,0,5.472858736023029,4.7839019739314885,2,1,1.252762968495368,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.3862943611198906,1,1,0,135,1.0,0,2.5764217586237734,2.5764217586237734,2,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0986122886681098,10,1,0,135,0.0,0,2.8183982582710754,0.9477893989335261,1,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0986122886681098,5,1,0,135,1.0,0,4.630740462099621,3.0596455992976437,1,1,0.6931471805599453,11.8,0.4054651081081644,0.0,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0986122886681098,2,2,2,135,2.0,2,5.165814016734943,4.478359019121704,1,1,1.0986122886681098,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.6931471805599453,1,2,2,135,2.0,1,4.32068300443283,4.32068300443283,0,1,1.0986122886681098,11.8,0.4054651081081644,0.0,1,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
