ubicacion,fecha,puntuacion,titulo_comentario,comentario_negativo,comentario_positivo,etiquetas,cantidad_comentarios,nacionalidad
Vitoria,Escrito en 2 de diciembre de 2025,"9,0",Dolores,Nada,"La ubicación, la limpieza y la comodidad del apartamento. Muy fácil y muy rápido contactar con la conserjería 24 horas.",Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 3 noches | Enviado por móvil,18 comentarios,España
Vitoria,Escrito en 2 de diciembre de 2025,"8,0",Elixabete,El sofa cama es muy incomodo.,,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 2 noches | Enviado por móvil,4 comentarios,España
Vitoria,Escrito en 1 de diciembre de 2025,"7,0",Sanz,Un poco caro para lo que ofrece.,La ubicación,Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 5 noches | Enviado por móvil,2 comentarios,España
Vitoria,Escrito en 28 de noviembre de 2025,10,Touriño,Nos gusto todo,Nos encantó,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,31 comentarios,España
Vitoria,Escrito en 23 de noviembre de 2025,"7,0",Gloriadp,"El sofá cama era bastante incómodo,","El apartamento en general, bien distribuido y con todo lo necesario. Buena ubicación. Personal amable.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,25 comentarios,España
Vitoria,Escrito en 20 de noviembre de 2025,"9,0",Arantxa,,"Nos hospedamos con nuestra mascota y la sorpresa fue que nos pusieron una camita, y boles para la comida y elagua además de un poco de comida. Todo un detalle. Gracias.",Viaje de ocio | Pareja | Apartamento Estudio | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 16 de noviembre de 2025,"8,0",Maria,"Sofá cama incómodo y no dejan ropa de abrigo (mantas, etc) en noviembre. La falta de personal hace perder calidez a la estancia y detalles como poder dejar el coche en el parking un ratito más resulten imposibles.","Bien ubicado. Bastante nuevo, la habitación principal cómoda.",Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,90 comentarios,España
Vitoria,Escrito en 16 de noviembre de 2025,10,Rocio,,"Estaba todo muy limpio, lo cual se agradece muchísimo, pack de bienvenida, más que de agradecer se nota la calidad de la habitación solo entrar. Para nosotros un 10, de echo, volvemos en una dos o tres semanas",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 15 de noviembre de 2025,"9,0",Marisa,La única pega el sofá cama,"Muy buena ubicación, comodidad y buen trato",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 5 noches | Enviado por móvil,15 comentarios,España
Vitoria,Escrito en 9 de noviembre de 2025,"8,0",Miriam,"No había detergente para la lavadora ni lavavajillas, pedimos y no les quedaba. En 7 días no pasaron a limpiar ninguna vez.","La ubicación, se aparca fácil por la zona. Para ir en familia haces uso de la cocina y lavadora.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 7 noches | Enviado por móvil,6 comentarios,España
